time,f
83700,-167.2698444016325
83800,-167.2779144680947
83900,-167.2860475077693
84000,-167.29424593755076
84100,-167.30251230369979
84200,-167.31084928936477
84300,-167.31925972233716
84400,-167.32774658305723
84500,-167.3363130128922
84600,-167.34496232271434
84700,-167.3536980018185
84800,-167.3625237272305
84900,-167.37144337347488
85000,-167.3804610228919
85100,-167.3895809766182
85200,-167.39880776637818
85300,-167.40814616726874
85400,-167.4176012117637
85500,-167.42717820521588
85600,-167.4368827431906
85700,-167.4467207310341
85800,-167.45669840615443
85900,-167.46682236358143
86000,-167.4770995854708
86100,-167.4875374753346
86200,-167.498143897912
86300,-167.50892722575347
86400,-167.51989639377481
86500,-167.53106096326212
86600,-167.54243119707587
86700,-167.5540181481304
86800,-167.5658337636285
86900,-167.57789100802748
87000,-167.59020400833748
87100,-167.60278822613034
87200,-167.61566066162845
87300,-167.62884009650128
87400,-167.6423473836197
87500,-167.65620579412132
87600,-167.6704414348887
87700,-167.68508375316844
87800,-167.70016614987213
87900,-167.7157267295423
88000,-167.73180922365677
88100,-167.74846413576
88200,-167.76575017311978
88300,-167.7837360520579
88400,-167.80250279548488
88500,-167.8221466854362
88600,-167.84278309624796
88700,-167.8645515233817
88800,-167.8876222490253
88900,-167.91220525887692
89000,-167.93856224664063
89100,-167.96702277708056
89200,-167.99800576119105
89300,-168.032046785352
89400,-168.0698289383977
89500,-168.11220537750484
89600,-168.16017651240864
89700,-168.21473024266453
89800,-168.276387642562
89900,-168.3443844073784
90000,-168.41597024624093
90100,-168.4868867872643
90200,-168.5531043689262
90300,-168.6122276227744
90400,-168.66359218299215
90500,-168.7076270943955
90600,-168.74522846064593
90700,-168.77738294220947
90800,-168.80499705340802
90900,-168.8288422957533
91000,-168.84955331422307
91100,-168.8676456209832
91200,-168.88353757525888
91300,-168.89757058149326
91400,-168.91002570912434
91500,-168.92113668174272
91600,-168.93109978444386
91700,-168.9400813536735
91800,-168.94822344624077
91900,-168.95564816541494
92000,-168.96246100517567
92100,-168.96875347652366
92200,-168.97460520515438
92300,-168.98008563504732
92400,-168.985255433445
92500,-168.99016766527654
92600,-168.99486878602903
92700,-168.99939948887578
92800,-169.00379543272297
92900,-169.0080878714444
93000,-169.01230420006172
93100,-169.01646843038571
93200,-169.0206016062589
93300,-169.0247221667632
93400,-169.02884626438873
93500,-169.03298804408743
93600,-169.03715988827332
93700,-169.04137263212394
93800,-169.04563575294907
93900,-169.04995753689664
94000,-169.0543452258421
94100,-169.05880514694266
94200,-169.06334282702548
94300,-169.06796309370296
94400,-169.07267016487273
94500,-169.07746772805135
94600,-169.08235901080982
94700,-169.0873468434197
94800,-169.0924337146811
94900,-169.09762182178068
95000,-169.1029131149234
95100,-169.1083093373869
95200,-169.113812061568
95300,-169.1194227215192
95400,-169.1251426424117
95500,-169.13097306730901
95600,-169.13691518158822
95700,-169.14297013530654
95800,-169.14913906377853
95900,-169.15542310659873
96000,-169.16182342532161
96100,-169.1683412199904
96200,-169.17497774469044
96300,-169.18173432228866
96400,-169.18861235851148
96500,-169.19561335550577
96600,-169.20273892502217
96700,-169.20999080135633
96800,-169.21737085418428
96900,-169.22488110142763
97000,-169.23252372228717
97100,-169.24030107058795
97200,-169.24821568858567
97300,-169.2562703213906
97400,-169.2644679321765
97500,-169.27281171835344
97600,-169.2813051288975
97700,-169.28995188304793
97800,-169.29875599060358
97900,-169.30772177407354
98000,-169.31685389297047
98100,-169.3261573705696
98200,-169.3356376235035
98300,-169.34530049462154
98400,-169.35515228961415
98500,-169.36519981799327
98600,-169.3754504391381
98700,-169.3859121142615
98800,-169.39659346534194
98900,-169.4075038423046
99000,-169.4186534000418
99100,-169.43005318725142
99200,-169.44171524956516
99300,-169.45365275006577
99400,-169.46588011108628
99500,-169.47841318219093
99600,-169.49126944051406
99700,-169.50446823125392
99800,-169.51803105818178
99900,-169.53198193666492
